model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,22.08$\pm$6.55,37.36$\pm$7.99,27.53$\pm$7.12,33.52$\pm$6.04,43.38$\pm$7.27,37.8$\pm$6.58
Gat-closest-h4-d4,1,28.13$\pm$8.32,34.38$\pm$7.24,30.47$\pm$7.37,36.5$\pm$6.85,45.47$\pm$6.65,40.45$\pm$6.81
Gat-60-angles-h4-d4,1,24.46$\pm$5.8,29.88$\pm$6.81,26.14$\pm$4.92,35.54$\pm$6.52,45.37$\pm$6.75,39.83$\pm$6.68
FS,2,42.37$\pm$5.99,56.21$\pm$7.71,48.11$\pm$5.77,43.46$\pm$5.56,54.67$\pm$4.73,48.39$\pm$5.31
Gat-closest-h4-d4,2,48.63$\pm$5.81,57.83$\pm$9.43,52.56$\pm$6.22,45.66$\pm$6.04,56.37$\pm$4.32,50.4$\pm$5.48
Gat-60-angles-h4-d4,2,44.84$\pm$7.03,56.03$\pm$9.37,49.48$\pm$6.64,45.19$\pm$5.53,56.6$\pm$3.88,50.2$\pm$4.97
FS,3,57.91$\pm$5.2,70.32$\pm$7.22,63.44$\pm$5.69,46.69$\pm$6.05,57.27$\pm$5.07,51.4$\pm$5.72
Gat-closest-h4-d4,3,60.44$\pm$5.06,71.4$\pm$7.44,65.36$\pm$5.46,48.13$\pm$7.24,58.73$\pm$5.68,52.84$\pm$6.71
Gat-60-angles-h4-d4,3,58.38$\pm$5.2,70.47$\pm$7.85,63.74$\pm$5.65,48.18$\pm$7.11,58.38$\pm$5.57,52.72$\pm$6.56
FS,4,63.38$\pm$4.4,75.94$\pm$2.57,69.04$\pm$3.34,50.03$\pm$4.81,60.35$\pm$3.34,54.67$\pm$4.24
Gat-closest-h4-d4,4,65.39$\pm$4.07,76.13$\pm$2.68,70.3$\pm$3.06,52.69$\pm$3.81,61.9$\pm$2.26,56.9$\pm$3.17
Gat-60-angles-h4-d4,4,63.45$\pm$4.07,74.87$\pm$3.25,68.61$\pm$3.0,51.19$\pm$4.06,61.04$\pm$3.04,55.66$\pm$3.63
FS,5,64.93$\pm$5.64,75.22$\pm$2.69,69.62$\pm$4.13,54.0$\pm$3.42,62.25$\pm$2.31,57.81$\pm$2.85
Gat-closest-h4-d4,5,67.99$\pm$3.69,77.4$\pm$1.73,72.36$\pm$2.66,55.09$\pm$2.77,63.1$\pm$2.14,58.8$\pm$2.33
Gat-60-angles-h4-d4,5,68.06$\pm$2.83,78.33$\pm$1.76,72.81$\pm$2.1,54.36$\pm$3.2,62.97$\pm$1.99,58.33$\pm$2.54
FS,6,69.27$\pm$4.65,78.5$\pm$1.41,73.54$\pm$3.15,56.64$\pm$2.16,64.46$\pm$1.97,60.29$\pm$2.04
Gat-closest-h4-d4,6,71.46$\pm$3.53,79.17$\pm$2.26,75.09$\pm$2.75,57.76$\pm$3.95,65.26$\pm$2.51,61.26$\pm$3.25
Gat-60-angles-h4-d4,6,70.96$\pm$3.66,78.93$\pm$2.43,74.72$\pm$2.94,57.08$\pm$3.1,65.37$\pm$2.15,60.93$\pm$2.67
FS,7,71.52$\pm$3.77,79.68$\pm$1.88,75.32$\pm$2.24,57.17$\pm$2.39,64.4$\pm$2.59,60.56$\pm$2.44
Gat-closest-h4-d4,7,72.2$\pm$2.52,79.65$\pm$1.67,75.71$\pm$1.67,58.67$\pm$4.25,66.12$\pm$2.97,62.15$\pm$3.67
Gat-60-angles-h4-d4,7,72.47$\pm$2.93,80.38$\pm$2.28,76.18$\pm$2.06,57.59$\pm$3.48,65.53$\pm$2.55,61.3$\pm$3.08
FS,8,72.32$\pm$3.04,78.62$\pm$2.5,75.33$\pm$2.64,60.04$\pm$3.03,67.65$\pm$2.11,63.61$\pm$2.59
Gat-closest-h4-d4,8,74.82$\pm$2.13,80.46$\pm$1.98,77.52$\pm$1.68,58.83$\pm$3.74,65.81$\pm$1.96,62.1$\pm$2.92
Gat-60-angles-h4-d4,8,73.52$\pm$1.89,80.23$\pm$2.36,76.71$\pm$1.66,59.45$\pm$3.66,66.33$\pm$2.18,62.69$\pm$3.01
FS,9,75.09$\pm$2.27,80.26$\pm$1.78,77.58$\pm$1.84,60.65$\pm$3.39,68.06$\pm$1.89,64.13$\pm$2.74
Gat-closest-h4-d4,9,75.32$\pm$2.04,80.04$\pm$2.15,77.6$\pm$1.8,60.92$\pm$2.96,67.34$\pm$1.5,63.96$\pm$2.3
Gat-60-angles-h4-d4,9,75.14$\pm$2.14,81.55$\pm$2.06,78.19$\pm$1.68,60.81$\pm$3.17,67.27$\pm$1.58,63.86$\pm$2.45
FS,10,75.23$\pm$2.81,79.86$\pm$3.04,77.47$\pm$2.85,61.32$\pm$3.48,67.98$\pm$2.61,64.47$\pm$3.05
Gat-closest-h4-d4,10,74.46$\pm$2.16,81.24$\pm$1.02,77.69$\pm$1.39,62.38$\pm$3.19,67.5$\pm$2.27,64.83$\pm$2.71
Gat-60-angles-h4-d4,10,75.04$\pm$2.47,81.56$\pm$1.32,78.14$\pm$1.61,61.56$\pm$2.39,67.56$\pm$1.47,64.41$\pm$1.92
