model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.03$\pm$7.02,39.01$\pm$6.65,28.71$\pm$7.17,34.85$\pm$5.59,45.43$\pm$6.44,39.43$\pm$5.97
Gat-closest-h4-d4,1,29.53$\pm$8.93,35.88$\pm$7.27,31.93$\pm$7.89,37.37$\pm$6.75,47.93$\pm$6.81,41.97$\pm$6.86
Gat-60-angles-h4-d4,1,27.16$\pm$7.5,32.28$\pm$5.53,28.73$\pm$5.44,36.27$\pm$6.8,47.36$\pm$7.13,41.05$\pm$7.03
FS,2,43.32$\pm$5.82,57.52$\pm$6.83,49.28$\pm$5.69,45.44$\pm$5.87,57.01$\pm$4.91,50.53$\pm$5.58
Gat-closest-h4-d4,2,49.66$\pm$5.24,58.16$\pm$7.98,53.31$\pm$5.03,46.97$\pm$5.74,58.26$\pm$4.16,51.97$\pm$5.24
Gat-60-angles-h4-d4,2,47.3$\pm$6.86,56.95$\pm$8.33,51.32$\pm$5.83,46.74$\pm$4.94,58.63$\pm$3.45,51.98$\pm$4.45
FS,3,58.59$\pm$4.94,70.67$\pm$6.81,64.03$\pm$5.5,49.19$\pm$6.1,60.29$\pm$5.08,54.15$\pm$5.76
Gat-closest-h4-d4,3,60.88$\pm$4.51,70.81$\pm$6.78,65.34$\pm$4.58,50.3$\pm$6.7,61.64$\pm$5.24,55.34$\pm$6.22
Gat-60-angles-h4-d4,3,59.28$\pm$4.77,69.88$\pm$6.55,63.98$\pm$4.37,50.87$\pm$6.39,61.7$\pm$5.13,55.72$\pm$5.96
FS,4,63.57$\pm$4.12,75.68$\pm$2.25,69.06$\pm$3.13,51.94$\pm$4.29,62.71$\pm$3.13,56.8$\pm$3.84
Gat-closest-h4-d4,4,65.75$\pm$3.69,76.37$\pm$2.61,70.62$\pm$2.81,54.43$\pm$3.73,64.38$\pm$2.8,58.97$\pm$3.35
Gat-60-angles-h4-d4,4,64.08$\pm$3.97,74.73$\pm$2.8,68.92$\pm$2.66,53.19$\pm$4.22,63.72$\pm$3.34,57.96$\pm$3.87
FS,5,65.78$\pm$5.42,75.93$\pm$2.38,70.43$\pm$4.08,55.39$\pm$3.59,64.22$\pm$2.93,59.47$\pm$3.23
Gat-closest-h4-d4,5,67.92$\pm$2.76,77.64$\pm$1.0,72.43$\pm$1.66,57.78$\pm$3.16,66.3$\pm$1.86,61.73$\pm$2.52
Gat-60-angles-h4-d4,5,68.49$\pm$1.49,78.82$\pm$1.27,73.28$\pm$1.15,56.81$\pm$3.63,65.91$\pm$2.57,61.01$\pm$3.15
FS,6,69.18$\pm$2.58,78.66$\pm$0.89,73.58$\pm$1.43,58.01$\pm$3.46,66.4$\pm$2.88,61.91$\pm$3.18
Gat-closest-h4-d4,6,70.83$\pm$4.05,78.89$\pm$2.18,74.59$\pm$2.79,59.6$\pm$5.01,67.64$\pm$3.66,63.35$\pm$4.41
Gat-60-angles-h4-d4,6,71.2$\pm$3.58,79.47$\pm$2.06,75.07$\pm$2.52,59.2$\pm$4.15,67.9$\pm$2.99,63.24$\pm$3.64
FS,7,70.44$\pm$3.17,79.19$\pm$1.63,74.5$\pm$1.6,59.0$\pm$3.27,67.13$\pm$2.89,62.8$\pm$3.09
Gat-closest-h4-d4,7,72.92$\pm$2.51,79.38$\pm$2.29,75.96$\pm$1.27,60.7$\pm$4.37,68.75$\pm$3.17,64.46$\pm$3.84
Gat-60-angles-h4-d4,7,73.11$\pm$2.89,79.94$\pm$3.0,76.31$\pm$1.95,60.1$\pm$3.5,68.36$\pm$2.62,63.96$\pm$3.12
FS,8,71.46$\pm$2.19,78.6$\pm$2.3,74.84$\pm$1.8,61.42$\pm$3.0,69.05$\pm$1.85,65.0$\pm$2.51
Gat-closest-h4-d4,8,73.95$\pm$2.18,79.58$\pm$2.17,76.62$\pm$1.32,62.1$\pm$3.75,69.46$\pm$2.5,65.56$\pm$3.19
Gat-60-angles-h4-d4,8,74.19$\pm$2.84,80.12$\pm$2.22,76.99$\pm$1.55,61.94$\pm$4.03,69.1$\pm$2.52,65.31$\pm$3.35
FS,9,74.23$\pm$2.05,80.09$\pm$1.83,77.04$\pm$1.69,62.9$\pm$2.33,70.65$\pm$1.42,66.54$\pm$1.92
Gat-closest-h4-d4,9,74.85$\pm$1.53,79.52$\pm$2.62,77.09$\pm$1.45,63.31$\pm$3.18,70.27$\pm$1.81,66.6$\pm$2.56
Gat-60-angles-h4-d4,9,74.59$\pm$2.14,81.41$\pm$2.0,77.82$\pm$1.3,63.89$\pm$3.77,70.58$\pm$2.3,67.06$\pm$3.11
FS,10,74.27$\pm$2.23,80.28$\pm$1.66,77.15$\pm$1.75,64.0$\pm$3.3,70.93$\pm$2.36,67.28$\pm$2.82
Gat-closest-h4-d4,10,75.86$\pm$2.25,81.23$\pm$1.99,78.42$\pm$1.48,64.51$\pm$3.15,70.42$\pm$2.6,67.33$\pm$2.86
Gat-60-angles-h4-d4,10,74.69$\pm$3.24,80.98$\pm$1.84,77.66$\pm$1.98,64.52$\pm$2.51,70.67$\pm$1.71,67.45$\pm$2.11
