model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.08$\pm$6.69,38.89$\pm$5.89,28.76$\pm$6.74,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,1,28.98$\pm$8.24,34.98$\pm$7.19,31.29$\pm$7.46,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,1,25.75$\pm$6.39,30.98$\pm$5.68,27.57$\pm$5.27,0$\pm$0,0$\pm$0,0$\pm$0
FS,2,44.21$\pm$5.27,58.81$\pm$6.23,50.33$\pm$5.09,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,2,48.83$\pm$5.67,58.91$\pm$8.13,53.23$\pm$5.99,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,2,45.54$\pm$7.1,57.17$\pm$8.87,50.44$\pm$6.9,0$\pm$0,0$\pm$0,0$\pm$0
FS,3,58.05$\pm$3.63,70.17$\pm$5.97,63.5$\pm$4.43,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,3,60.83$\pm$4.87,71.12$\pm$6.86,65.51$\pm$5.32,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,3,59.91$\pm$4.58,70.67$\pm$6.61,64.76$\pm$4.92,0$\pm$0,0$\pm$0,0$\pm$0
FS,4,61.92$\pm$3.74,75.08$\pm$2.31,67.82$\pm$2.87,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,4,65.94$\pm$2.88,76.9$\pm$3.3,70.98$\pm$2.85,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,4,63.84$\pm$2.19,74.75$\pm$4.13,68.83$\pm$2.63,0$\pm$0,0$\pm$0,0$\pm$0
FS,5,64.26$\pm$4.71,75.75$\pm$2.22,69.49$\pm$3.55,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,5,68.07$\pm$2.27,77.79$\pm$2.94,72.59$\pm$2.27,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,5,68.66$\pm$1.51,79.33$\pm$2.06,73.6$\pm$1.49,0$\pm$0,0$\pm$0,0$\pm$0
FS,6,68.67$\pm$4.24,78.88$\pm$1.51,73.38$\pm$2.98,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,6,70.7$\pm$3.4,79.52$\pm$2.11,74.83$\pm$2.63,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,6,71.32$\pm$3.19,79.92$\pm$2.13,75.36$\pm$2.59,0$\pm$0,0$\pm$0,0$\pm$0
FS,7,70.57$\pm$3.8,79.43$\pm$1.51,74.69$\pm$2.45,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,7,72.2$\pm$1.9,80.37$\pm$1.61,76.05$\pm$1.48,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,7,72.73$\pm$2.06,81.08$\pm$2.31,76.65$\pm$1.77,0$\pm$0,0$\pm$0,0$\pm$0
