model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,22.94$\pm$6.56,39.28$\pm$6.1,28.75$\pm$6.73,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,1,29.07$\pm$8.42,35.57$\pm$7.27,31.55$\pm$7.52,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,1,25.99$\pm$6.65,31.85$\pm$5.61,27.98$\pm$5.24,0$\pm$0,0$\pm$0,0$\pm$0
FS,2,44.74$\pm$5.93,59.48$\pm$6.86,50.91$\pm$5.75,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,2,49.43$\pm$5.9,59.16$\pm$8.69,53.71$\pm$6.44,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,2,46.56$\pm$6.85,57.89$\pm$9.11,51.36$\pm$6.83,0$\pm$0,0$\pm$0,0$\pm$0
FS,3,59.49$\pm$4.87,71.74$\pm$7.23,65.0$\pm$5.69,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,3,61.87$\pm$5.01,72.72$\pm$7.09,66.8$\pm$5.53,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,3,60.54$\pm$4.75,71.82$\pm$7.08,65.63$\pm$5.33,0$\pm$0,0$\pm$0,0$\pm$0
FS,4,64.19$\pm$3.97,76.99$\pm$2.3,69.97$\pm$3.03,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,4,67.65$\pm$2.82,78.49$\pm$2.72,72.64$\pm$2.49,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,4,65.11$\pm$3.2,76.3$\pm$3.78,70.21$\pm$2.97,0$\pm$0,0$\pm$0,0$\pm$0
FS,5,66.46$\pm$5.05,77.47$\pm$2.42,71.5$\pm$3.83,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,5,69.42$\pm$2.41,79.2$\pm$2.18,73.97$\pm$2.1,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,5,70.43$\pm$1.3,80.83$\pm$1.35,75.26$\pm$1.03,0$\pm$0,0$\pm$0,0$\pm$0
FS,6,70.11$\pm$4.23,80.26$\pm$1.33,74.8$\pm$2.96,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,6,72.1$\pm$3.84,80.97$\pm$2.01,76.25$\pm$2.93,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,6,71.94$\pm$3.69,81.23$\pm$1.74,76.27$\pm$2.69,0$\pm$0,0$\pm$0,0$\pm$0
FS,7,71.94$\pm$3.23,80.85$\pm$0.77,76.1$\pm$1.82,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,7,74.0$\pm$2.15,81.98$\pm$1.07,77.77$\pm$1.36,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,7,73.94$\pm$2.96,82.53$\pm$2.19,77.97$\pm$2.27,0$\pm$0,0$\pm$0,0$\pm$0
