model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,21.23$\pm$5.85,36.19$\pm$6.8,26.49$\pm$6.16,33.23$\pm$6.14,42.83$\pm$7.28,37.41$\pm$6.64
Gat-closest-h4-d4,1,26.84$\pm$7.49,32.6$\pm$7.51,28.96$\pm$6.9,36.39$\pm$7.08,45.28$\pm$6.99,40.31$\pm$7.08
Gat-60-angles-h4-d4,1,23.87$\pm$5.9,28.69$\pm$6.85,25.28$\pm$5.01,35.39$\pm$6.52,45.11$\pm$6.85,39.63$\pm$6.71
FS,2,42.28$\pm$5.68,54.97$\pm$8.49,47.53$\pm$5.73,42.73$\pm$5.79,53.73$\pm$5.24,47.57$\pm$5.64
Gat-closest-h4-d4,2,48.45$\pm$5.59,56.91$\pm$9.82,52.0$\pm$6.01,45.4$\pm$6.14,56.13$\pm$4.36,50.14$\pm$5.57
Gat-60-angles-h4-d4,2,44.38$\pm$6.78,54.84$\pm$9.83,48.63$\pm$6.31,45.15$\pm$5.86,56.44$\pm$4.03,50.11$\pm$5.26
FS,3,58.38$\pm$5.74,69.76$\pm$8.3,63.48$\pm$6.44,46.88$\pm$6.32,57.24$\pm$5.39,51.5$\pm$6.01
Gat-closest-h4-d4,3,58.85$\pm$5.56,69.78$\pm$7.8,63.71$\pm$5.67,48.15$\pm$7.02,58.76$\pm$5.44,52.86$\pm$6.49
Gat-60-angles-h4-d4,3,57.03$\pm$5.51,68.18$\pm$8.32,61.91$\pm$5.56,48.46$\pm$7.07,58.71$\pm$5.51,53.03$\pm$6.52
FS,4,63.74$\pm$3.87,76.08$\pm$2.31,69.29$\pm$2.5,49.79$\pm$5.0,59.89$\pm$3.54,54.34$\pm$4.41
Gat-closest-h4-d4,4,64.8$\pm$4.63,75.92$\pm$3.79,69.86$\pm$3.83,52.45$\pm$4.05,61.66$\pm$2.56,56.66$\pm$3.43
Gat-60-angles-h4-d4,4,62.51$\pm$4.2,73.52$\pm$4.33,67.47$\pm$3.47,50.79$\pm$4.08,60.54$\pm$2.96,55.21$\pm$3.61
FS,5,65.57$\pm$5.66,75.33$\pm$2.52,69.99$\pm$3.73,53.75$\pm$3.26,62.05$\pm$2.05,57.58$\pm$2.62
Gat-closest-h4-d4,5,67.57$\pm$3.1,76.96$\pm$2.63,71.92$\pm$2.44,54.73$\pm$2.75,62.85$\pm$2.23,58.49$\pm$2.31
Gat-60-angles-h4-d4,5,67.85$\pm$3.33,78.33$\pm$2.35,72.67$\pm$2.48,53.98$\pm$2.67,62.74$\pm$1.56,58.01$\pm$2.0
FS,6,69.83$\pm$4.62,78.47$\pm$1.31,73.82$\pm$2.81,55.99$\pm$2.47,63.83$\pm$2.36,59.65$\pm$2.4
Gat-closest-h4-d4,6,71.1$\pm$2.82,78.92$\pm$2.6,74.78$\pm$2.48,57.13$\pm$3.8,64.73$\pm$2.26,60.67$\pm$3.03
Gat-60-angles-h4-d4,6,71.37$\pm$3.36,78.99$\pm$2.6,74.96$\pm$2.63,56.8$\pm$2.81,65.09$\pm$1.95,60.65$\pm$2.41
FS,7,71.85$\pm$3.97,79.45$\pm$2.01,75.36$\pm$1.94,56.91$\pm$2.67,64.11$\pm$3.2,60.29$\pm$2.87
Gat-closest-h4-d4,7,72.62$\pm$2.25,79.88$\pm$2.32,76.04$\pm$1.65,58.19$\pm$3.68,65.61$\pm$2.51,61.66$\pm$3.16
Gat-60-angles-h4-d4,7,72.87$\pm$2.68,80.1$\pm$2.87,76.26$\pm$1.99,57.27$\pm$3.25,65.33$\pm$2.48,61.03$\pm$2.92
FS,8,72.77$\pm$3.08,78.8$\pm$3.48,75.65$\pm$3.06,59.54$\pm$2.66,67.07$\pm$1.85,63.07$\pm$2.23
Gat-closest-h4-d4,8,74.76$\pm$1.71,80.11$\pm$2.2,77.31$\pm$1.26,58.39$\pm$3.69,65.34$\pm$1.77,61.65$\pm$2.78
Gat-60-angles-h4-d4,8,75.08$\pm$1.96,81.12$\pm$2.5,77.95$\pm$1.39,59.23$\pm$2.95,66.06$\pm$1.6,62.44$\pm$2.33
FS,9,74.91$\pm$2.81,79.12$\pm$2.34,76.92$\pm$1.92,59.92$\pm$3.09,67.37$\pm$1.67,63.41$\pm$2.45
Gat-closest-h4-d4,9,75.89$\pm$1.51,80.39$\pm$2.46,78.06$\pm$1.69,60.83$\pm$2.73,67.18$\pm$1.24,63.83$\pm$2.04
Gat-60-angles-h4-d4,9,74.82$\pm$1.64,81.23$\pm$2.24,77.88$\pm$1.52,60.79$\pm$3.13,67.17$\pm$1.69,63.8$\pm$2.48
FS,10,75.17$\pm$2.67,79.34$\pm$3.04,77.19$\pm$2.74,60.45$\pm$3.15,67.2$\pm$2.27,63.64$\pm$2.7
Gat-closest-h4-d4,10,75.73$\pm$2.23,81.66$\pm$2.13,78.57$\pm$1.96,61.81$\pm$3.27,67.04$\pm$2.33,64.31$\pm$2.76
Gat-60-angles-h4-d4,10,75.14$\pm$3.31,81.33$\pm$1.76,78.08$\pm$2.29,61.08$\pm$2.49,67.07$\pm$1.61,63.92$\pm$2.04
