model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.03$\pm$6.58,39.13$\pm$6.39,28.75$\pm$6.72,34.95$\pm$5.64,45.51$\pm$6.46,39.52$\pm$6.01
Gat-closest-h4-d4,1,29.42$\pm$8.74,35.83$\pm$7.24,31.85$\pm$7.74,37.64$\pm$6.55,48.1$\pm$6.56,42.2$\pm$6.63
Gat-60-angles-h4-d4,1,27.11$\pm$7.33,32.37$\pm$5.54,28.75$\pm$5.4,36.62$\pm$6.77,47.64$\pm$7.07,41.38$\pm$6.98
FS,2,43.76$\pm$5.59,58.02$\pm$6.82,49.74$\pm$5.45,45.69$\pm$5.79,57.25$\pm$4.8,50.78$\pm$5.48
Gat-closest-h4-d4,2,49.85$\pm$5.47,58.47$\pm$8.19,53.57$\pm$5.44,47.16$\pm$5.43,58.47$\pm$3.9,52.17$\pm$4.93
Gat-60-angles-h4-d4,2,47.19$\pm$6.75,56.96$\pm$8.63,51.28$\pm$6.05,47.04$\pm$4.87,58.93$\pm$3.37,52.28$\pm$4.38
FS,3,59.29$\pm$5.39,71.04$\pm$7.33,64.58$\pm$5.95,49.47$\pm$6.06,60.55$\pm$5.03,54.42$\pm$5.72
Gat-closest-h4-d4,3,60.83$\pm$4.99,70.93$\pm$6.86,65.37$\pm$4.97,50.7$\pm$6.66,61.86$\pm$5.14,55.68$\pm$6.15
Gat-60-angles-h4-d4,3,59.3$\pm$4.97,70.54$\pm$7.2,64.29$\pm$4.95,50.62$\pm$6.15,61.58$\pm$4.94,55.52$\pm$5.74
FS,4,63.5$\pm$3.79,76.07$\pm$2.22,69.18$\pm$2.81,51.87$\pm$4.63,62.79$\pm$3.28,56.78$\pm$4.11
Gat-closest-h4-d4,4,65.94$\pm$3.38,76.92$\pm$2.32,70.97$\pm$2.47,54.39$\pm$3.59,64.38$\pm$2.61,58.96$\pm$3.18
Gat-60-angles-h4-d4,4,64.52$\pm$4.09,75.23$\pm$2.9,69.4$\pm$2.96,53.33$\pm$4.0,63.87$\pm$3.25,58.11$\pm$3.7
FS,5,65.54$\pm$5.04,76.21$\pm$2.08,70.42$\pm$3.73,55.57$\pm$3.43,64.36$\pm$2.65,59.63$\pm$3.01
Gat-closest-h4-d4,5,68.68$\pm$2.54,78.17$\pm$1.17,73.1$\pm$1.65,58.01$\pm$3.21,66.49$\pm$1.92,61.94$\pm$2.58
Gat-60-angles-h4-d4,5,68.6$\pm$0.96,79.08$\pm$1.03,73.46$\pm$0.77,56.92$\pm$3.66,66.04$\pm$2.45,61.13$\pm$3.11
FS,6,70.07$\pm$3.49,79.42$\pm$0.91,74.42$\pm$2.22,58.11$\pm$3.14,66.52$\pm$2.7,62.02$\pm$2.92
Gat-closest-h4-d4,6,71.02$\pm$3.98,79.39$\pm$2.27,74.93$\pm$2.86,48.55$\pm$21.62,55.74$\pm$24.5,51.88$\pm$22.97
Gat-60-angles-h4-d4,6,71.31$\pm$3.39,80.18$\pm$1.91,75.45$\pm$2.39,59.22$\pm$4.17,67.88$\pm$3.02,63.24$\pm$3.65
FS,7,71.72$\pm$2.92,80.27$\pm$1.28,75.69$\pm$1.2,59.2$\pm$3.51,67.23$\pm$2.92,62.95$\pm$3.23
Gat-closest-h4-d4,7,72.78$\pm$2.62,79.62$\pm$2.16,76.0$\pm$1.49,60.52$\pm$4.06,68.71$\pm$3.06,64.35$\pm$3.62
Gat-60-angles-h4-d4,7,72.97$\pm$2.97,80.49$\pm$2.74,76.5$\pm$2.07,60.39$\pm$3.71,68.61$\pm$2.72,64.23$\pm$3.27
FS,8,72.24$\pm$2.52,79.16$\pm$2.31,75.52$\pm$2.06,61.49$\pm$3.02,69.22$\pm$1.93,65.12$\pm$2.56
Gat-closest-h4-d4,8,74.86$\pm$2.17,80.53$\pm$2.19,77.55$\pm$1.22,62.14$\pm$3.49,69.59$\pm$2.4,65.65$\pm$2.99
Gat-60-angles-h4-d4,8,75.25$\pm$2.79,81.39$\pm$2.04,78.15$\pm$1.35,62.21$\pm$3.79,69.3$\pm$2.41,65.55$\pm$3.17
FS,9,74.34$\pm$2.04,80.34$\pm$1.79,77.21$\pm$1.57,63.02$\pm$2.31,70.73$\pm$1.45,66.65$\pm$1.93
Gat-closest-h4-d4,9,75.46$\pm$1.58,80.33$\pm$2.32,77.8$\pm$1.41,63.41$\pm$2.96,70.53$\pm$1.66,66.78$\pm$2.38
Gat-60-angles-h4-d4,9,75.27$\pm$2.51,82.21$\pm$1.9,78.55$\pm$1.48,63.39$\pm$3.53,70.31$\pm$2.13,66.66$\pm$2.91
FS,10,74.56$\pm$2.86,80.56$\pm$2.03,77.43$\pm$2.38,63.67$\pm$3.3,70.72$\pm$2.43,67.0$\pm$2.88
Gat-closest-h4-d4,10,76.58$\pm$2.33,82.37$\pm$1.93,79.34$\pm$1.47,64.37$\pm$3.09,70.52$\pm$2.22,67.3$\pm$2.65
Gat-60-angles-h4-d4,10,75.44$\pm$3.21,81.85$\pm$1.58,78.47$\pm$1.89,64.16$\pm$2.47,70.48$\pm$1.63,67.17$\pm$2.05
