model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,22.57$\pm$6.7,37.95$\pm$7.85,28.05$\pm$7.14,33.8$\pm$5.94,43.49$\pm$7.1,38.02$\pm$6.44
Gat-closest-h4-d4,1,28.36$\pm$8.2,34.62$\pm$6.99,30.67$\pm$7.08,36.47$\pm$6.91,45.43$\pm$6.9,40.42$\pm$6.94
Gat-60-angles-h4-d4,1,25.35$\pm$6.44,31.12$\pm$7.1,27.14$\pm$5.35,35.29$\pm$6.57,45.02$\pm$6.9,39.54$\pm$6.77
FS,2,43.91$\pm$6.59,57.87$\pm$7.56,49.71$\pm$6.03,43.25$\pm$5.93,54.43$\pm$5.19,48.16$\pm$5.73
Gat-closest-h4-d4,2,49.13$\pm$5.5,58.33$\pm$8.39,53.09$\pm$5.55,45.36$\pm$6.13,56.2$\pm$4.25,50.14$\pm$5.53
Gat-60-angles-h4-d4,2,46.26$\pm$6.94,57.33$\pm$8.85,50.87$\pm$6.27,44.96$\pm$6.0,56.32$\pm$4.29,49.95$\pm$5.45
FS,3,59.44$\pm$5.09,71.69$\pm$7.38,64.94$\pm$5.81,46.88$\pm$6.28,57.37$\pm$5.17,51.55$\pm$5.91
Gat-closest-h4-d4,3,60.98$\pm$5.47,72.37$\pm$7.41,66.06$\pm$5.48,47.68$\pm$7.09,58.25$\pm$5.67,52.37$\pm$6.62
Gat-60-angles-h4-d4,3,59.23$\pm$5.6,71.66$\pm$7.68,64.72$\pm$5.66,47.89$\pm$7.51,58.1$\pm$5.99,52.43$\pm$6.98
FS,4,64.19$\pm$4.45,77.01$\pm$2.33,69.96$\pm$3.35,50.15$\pm$4.89,60.17$\pm$3.17,54.66$\pm$4.2
Gat-closest-h4-d4,4,67.33$\pm$4.03,77.78$\pm$2.41,72.14$\pm$3.06,52.01$\pm$3.97,61.14$\pm$2.58,56.18$\pm$3.4
Gat-60-angles-h4-d4,4,64.92$\pm$3.94,76.33$\pm$3.02,70.09$\pm$2.85,50.87$\pm$4.52,60.43$\pm$3.29,55.21$\pm$4.02
FS,5,65.92$\pm$5.75,76.73$\pm$2.49,70.84$\pm$4.24,53.51$\pm$3.32,62.08$\pm$2.01,57.45$\pm$2.65
Gat-closest-h4-d4,5,68.86$\pm$3.54,78.35$\pm$1.98,73.27$\pm$2.65,54.47$\pm$3.11,62.64$\pm$1.95,58.24$\pm$2.43
Gat-60-angles-h4-d4,5,68.85$\pm$2.01,78.97$\pm$1.38,73.55$\pm$1.43,53.79$\pm$3.15,62.5$\pm$1.92,57.8$\pm$2.5
FS,6,68.77$\pm$4.8,78.73$\pm$1.29,73.35$\pm$3.16,55.53$\pm$2.33,63.6$\pm$2.05,59.28$\pm$2.18
Gat-closest-h4-d4,6,71.78$\pm$4.05,79.95$\pm$2.31,75.61$\pm$3.07,56.93$\pm$4.25,64.52$\pm$2.78,60.47$\pm$3.55
Gat-60-angles-h4-d4,6,71.13$\pm$4.29,79.42$\pm$2.71,75.02$\pm$3.44,55.7$\pm$3.24,64.31$\pm$2.11,59.68$\pm$2.72
FS,7,72.28$\pm$3.89,80.81$\pm$2.03,76.24$\pm$2.28,56.49$\pm$2.56,63.74$\pm$2.74,59.89$\pm$2.61
Gat-closest-h4-d4,7,72.99$\pm$2.36,80.77$\pm$1.89,76.66$\pm$1.69,57.56$\pm$4.45,65.23$\pm$3.09,61.14$\pm$3.85
Gat-60-angles-h4-d4,7,73.73$\pm$2.82,81.77$\pm$2.14,77.5$\pm$1.94,56.87$\pm$3.52,65.01$\pm$2.5,60.66$\pm$3.1
FS,8,73.09$\pm$2.38,79.73$\pm$2.48,76.26$\pm$2.29,59.86$\pm$2.86,67.28$\pm$2.06,63.34$\pm$2.46
Gat-closest-h4-d4,8,75.01$\pm$2.51,81.08$\pm$2.5,77.92$\pm$2.28,58.76$\pm$3.73,65.56$\pm$2.01,61.95$\pm$2.94
Gat-60-angles-h4-d4,8,74.71$\pm$2.41,81.73$\pm$2.41,78.05$\pm$2.11,58.75$\pm$3.7,65.53$\pm$2.19,61.94$\pm$3.03
FS,9,76.41$\pm$2.49,81.58$\pm$2.21,78.9$\pm$2.2,60.17$\pm$2.94,67.75$\pm$1.47,63.72$\pm$2.28
Gat-closest-h4-d4,9,76.82$\pm$2.0,81.52$\pm$2.5,79.09$\pm$2.13,60.39$\pm$1.91,66.73$\pm$0.8,63.4$\pm$1.39
Gat-60-angles-h4-d4,9,75.51$\pm$2.41,82.52$\pm$2.28,78.84$\pm$2.07,60.18$\pm$2.62,66.7$\pm$1.39,63.26$\pm$2.05
FS,10,75.93$\pm$2.13,81.0$\pm$2.51,78.38$\pm$2.24,60.38$\pm$2.96,67.23$\pm$2.38,63.61$\pm$2.66
Gat-closest-h4-d4,10,76.16$\pm$2.32,82.64$\pm$1.93,79.26$\pm$1.94,61.36$\pm$2.77,66.6$\pm$2.42,63.87$\pm$2.56
Gat-60-angles-h4-d4,10,76.32$\pm$3.33,82.83$\pm$2.13,79.42$\pm$2.53,60.62$\pm$2.03,66.57$\pm$1.36,63.45$\pm$1.63
