model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
Gat-closest-h4-d4,5,69.6$\pm$2.57,79.72$\pm$1.66,74.3$\pm$1.94,59.84$\pm$3.27,68.36$\pm$2.34,63.8$\pm$2.76
Gat-closest-h8-d4,5,65.69$\pm$2.6,78.18$\pm$2.47,71.34$\pm$1.75,0$\pm$0,0$\pm$0,0$\pm$0
Gat-45-angles-h4-d4,5,70.07$\pm$1.87,80.71$\pm$1.26,75.0$\pm$1.41,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,5,70.32$\pm$1.41,80.86$\pm$1.23,75.22$\pm$1.1,0$\pm$0,0$\pm$0,0$\pm$0
FS,6,71.19$\pm$3.75,80.83$\pm$1.09,75.68$\pm$2.58,60.91$\pm$3.51,69.16$\pm$2.76,64.76$\pm$3.16
Gat-closest-h4-d4,6,72.71$\pm$3.42,81.53$\pm$1.98,76.84$\pm$2.58,61.8$\pm$5.14,70.0$\pm$3.75,65.63$\pm$4.53
Gat-closest-h8-d4,6,71.29$\pm$1.55,81.09$\pm$1.53,75.86$\pm$1.23,0$\pm$0,0$\pm$0,0$\pm$0
Gat-45-angles-h4-d4,6,72.31$\pm$3.7,81.65$\pm$1.81,76.67$\pm$2.7,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,6,72.31$\pm$3.7,81.65$\pm$1.81,76.67$\pm$2.7,0$\pm$0,0$\pm$0,0$\pm$0
FS,7,72.44$\pm$3.56,81.56$\pm$1.12,76.68$\pm$1.95,62.26$\pm$3.78,70.3$\pm$3.02,66.03$\pm$3.43
Gat-closest-h4-d4,7,74.48$\pm$2.42,82.4$\pm$1.1,78.22$\pm$1.49,62.84$\pm$4.17,71.05$\pm$3.26,66.68$\pm$3.77
Gat-closest-h8-d4,7,73.32$\pm$1.75,82.92$\pm$1.82,77.8$\pm$1.29,0$\pm$0,0$\pm$0,0$\pm$0
Gat-45-angles-h4-d4,7,74.63$\pm$2.69,83.18$\pm$2.04,78.65$\pm$2.06,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,7,74.63$\pm$2.69,83.18$\pm$2.04,78.65$\pm$2.06,0$\pm$0,0$\pm$0,0$\pm$0
