model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.33$\pm$5.07,37.51$\pm$6.88,28.58$\pm$5.38,30.62$\pm$8.66,40.14$\pm$10.73,34.72$\pm$9.56
Gat-closest-h4-d4,1,30.02$\pm$8.44,38.06$\pm$8.68,33.33$\pm$8.34,29.3$\pm$10.17,36.22$\pm$12.32,32.35$\pm$11.11
Gat-60-angles-h4-d4,1,27.23$\pm$6.9,34.35$\pm$7.0,29.99$\pm$6.43,29.18$\pm$9.14,37.7$\pm$11.42,32.87$\pm$10.12
FS,2,42.48$\pm$4.63,50.89$\pm$12.53,45.5$\pm$7.48,39.6$\pm$7.75,50.69$\pm$8.25,44.44$\pm$8.08
Gat-closest-h4-d4,2,47.92$\pm$4.28,55.93$\pm$10.92,51.11$\pm$5.66,38.79$\pm$8.89,48.42$\pm$9.02,43.03$\pm$9.08
Gat-60-angles-h4-d4,2,45.57$\pm$5.35,55.23$\pm$12.27,49.28$\pm$6.59,38.43$\pm$9.1,48.43$\pm$9.33,42.82$\pm$9.33
FS,3,56.62$\pm$4.78,67.08$\pm$8.63,61.29$\pm$6.01,42.47$\pm$8.15,53.11$\pm$8.34,47.17$\pm$8.36
Gat-closest-h4-d4,3,57.76$\pm$4.85,68.1$\pm$8.76,62.33$\pm$5.66,41.0$\pm$8.1,50.44$\pm$7.63,45.2$\pm$8.05
Gat-60-angles-h4-d4,3,57.35$\pm$4.31,67.9$\pm$8.98,62.0$\pm$5.57,41.21$\pm$8.35,50.46$\pm$7.9,45.33$\pm$8.3
FS,4,60.16$\pm$4.72,72.21$\pm$2.3,65.59$\pm$3.64,45.02$\pm$6.15,55.85$\pm$6.36,49.84$\pm$6.31
Gat-closest-h4-d4,4,63.45$\pm$3.64,74.47$\pm$4.13,68.44$\pm$2.9,44.9$\pm$3.38,52.96$\pm$4.24,48.59$\pm$3.73
Gat-60-angles-h4-d4,4,62.85$\pm$2.69,73.92$\pm$4.75,67.84$\pm$2.58,43.67$\pm$2.66,52.26$\pm$3.83,47.57$\pm$3.15
FS,5,61.7$\pm$5.5,71.02$\pm$5.25,65.89$\pm$4.61,46.85$\pm$5.41,56.61$\pm$5.99,51.26$\pm$5.68
Gat-closest-h4-d4,5,65.94$\pm$2.99,76.51$\pm$2.56,70.77$\pm$1.87,47.75$\pm$4.11,55.13$\pm$5.66,51.15$\pm$4.69
Gat-60-angles-h4-d4,5,66.42$\pm$2.16,77.28$\pm$2.17,71.41$\pm$1.57,45.84$\pm$3.56,54.0$\pm$4.97,49.57$\pm$4.09
FS,6,65.0$\pm$4.98,74.76$\pm$2.93,69.48$\pm$3.79,49.36$\pm$3.45,58.65$\pm$4.64,53.6$\pm$3.95
Gat-closest-h4-d4,6,68.52$\pm$3.89,76.48$\pm$3.51,72.18$\pm$2.67,50.53$\pm$4.6,57.91$\pm$5.41,53.95$\pm$4.88
Gat-60-angles-h4-d4,6,68.45$\pm$2.58,76.67$\pm$3.87,72.22$\pm$1.65,49.14$\pm$4.32,56.95$\pm$5.39,52.75$\pm$4.75
FS,7,69.11$\pm$4.19,77.4$\pm$3.18,72.92$\pm$2.77,48.9$\pm$4.59,57.19$\pm$5.18,52.71$\pm$4.84
Gat-closest-h4-d4,7,70.53$\pm$1.63,76.3$\pm$6.15,73.14$\pm$2.72,51.05$\pm$5.58,58.58$\pm$6.83,54.55$\pm$6.11
Gat-60-angles-h4-d4,7,70.04$\pm$2.04,76.8$\pm$6.72,73.12$\pm$3.63,49.82$\pm$4.18,57.2$\pm$5.57,53.25$\pm$4.77
FS,8,69.4$\pm$3.12,75.97$\pm$3.63,72.43$\pm$1.98,51.44$\pm$5.19,59.73$\pm$5.18,55.27$\pm$5.2
Gat-closest-h4-d4,8,72.25$\pm$2.28,77.38$\pm$4.86,74.6$\pm$2.11,49.91$\pm$5.5,57.01$\pm$5.25,53.21$\pm$5.35
Gat-60-angles-h4-d4,8,71.33$\pm$2.43,76.99$\pm$6.25,73.86$\pm$2.82,48.55$\pm$4.4,55.24$\pm$4.38,51.67$\pm$4.35
FS,9,73.23$\pm$1.57,78.35$\pm$3.59,75.65$\pm$1.93,50.36$\pm$3.87,58.78$\pm$4.25,54.24$\pm$4.04
Gat-closest-h4-d4,9,73.56$\pm$1.97,77.88$\pm$6.45,75.56$\pm$3.83,49.33$\pm$3.69,55.95$\pm$3.74,52.43$\pm$3.7
Gat-60-angles-h4-d4,9,73.11$\pm$2.19,79.99$\pm$3.25,76.31$\pm$1.01,48.54$\pm$2.95,54.82$\pm$2.22,51.48$\pm$2.62
FS,10,73.12$\pm$2.93,77.94$\pm$3.74,75.39$\pm$2.46,50.57$\pm$5.65,58.17$\pm$6.2,54.1$\pm$5.91
Gat-closest-h4-d4,10,72.64$\pm$2.71,78.7$\pm$3.99,75.5$\pm$2.77,49.55$\pm$3.78,55.63$\pm$4.04,52.41$\pm$3.88
Gat-60-angles-h4-d4,10,72.4$\pm$2.51,79.18$\pm$3.7,75.52$\pm$1.19,50.0$\pm$3.65,56.55$\pm$3.59,53.07$\pm$3.59
