model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.06$\pm$6.54,39.52$\pm$6.23,28.91$\pm$6.74,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,1,29.12$\pm$8.31,35.82$\pm$7.45,31.66$\pm$7.45,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,1,26.02$\pm$6.57,32.04$\pm$5.81,28.04$\pm$5.15,0$\pm$0,0$\pm$0,0$\pm$0
FS,2,44.69$\pm$6.03,59.32$\pm$6.77,50.81$\pm$5.75,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,2,49.79$\pm$6.04,59.46$\pm$8.96,54.03$\pm$6.59,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,2,46.89$\pm$6.95,58.23$\pm$9.0,51.67$\pm$6.73,0$\pm$0,0$\pm$0,0$\pm$0
FS,3,59.78$\pm$4.96,72.2$\pm$7.5,65.37$\pm$5.88,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,3,62.1$\pm$4.58,72.91$\pm$7.11,67.0$\pm$5.23,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,3,60.75$\pm$4.51,72.17$\pm$7.12,65.91$\pm$5.25,0$\pm$0,0$\pm$0,0$\pm$0
FS,4,64.26$\pm$4.21,77.15$\pm$2.13,70.07$\pm$3.14,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,4,67.6$\pm$2.86,78.6$\pm$2.54,72.66$\pm$2.42,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,4,65.52$\pm$3.21,76.66$\pm$3.68,70.61$\pm$2.93,0$\pm$0,0$\pm$0,0$\pm$0
FS,5,66.56$\pm$4.97,77.58$\pm$2.54,71.61$\pm$3.86,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,5,69.49$\pm$2.26,79.39$\pm$1.98,74.1$\pm$1.97,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,5,70.54$\pm$1.19,80.84$\pm$1.29,75.33$\pm$0.92,0$\pm$0,0$\pm$0,0$\pm$0
FS,6,70.55$\pm$3.81,80.53$\pm$1.17,75.18$\pm$2.65,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,6,72.2$\pm$3.49,81.26$\pm$1.8,76.43$\pm$2.59,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,6,72.62$\pm$3.66,81.73$\pm$1.8,76.88$\pm$2.67,0$\pm$0,0$\pm$0,0$\pm$0
FS,7,72.24$\pm$3.19,81.18$\pm$0.83,76.41$\pm$1.7,0$\pm$0,0$\pm$0,0$\pm$0
Gat-closest-h4-d4,7,74.32$\pm$2.41,82.18$\pm$1.0,78.03$\pm$1.51,0$\pm$0,0$\pm$0,0$\pm$0
Gat-60-angles-h4-d4,7,73.95$\pm$2.67,82.9$\pm$2.12,78.14$\pm$2.0,0$\pm$0,0$\pm$0,0$\pm$0
