model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,23.12$\pm$6.7,39.02$\pm$7.02,28.79$\pm$6.97,33.9$\pm$6.0,43.74$\pm$7.24,38.18$\pm$6.53
Gat-closest-h4-d4,1,28.84$\pm$8.09,35.7$\pm$7.7,31.38$\pm$7.24,36.68$\pm$6.88,45.63$\pm$6.83,40.63$\pm$6.9
Gat-60-angles-h4-d4,1,25.99$\pm$6.83,32.02$\pm$7.07,27.91$\pm$5.63,35.71$\pm$6.6,45.45$\pm$6.94,39.97$\pm$6.81
FS,2,44.76$\pm$6.33,59.33$\pm$7.6,50.85$\pm$6.14,43.64$\pm$5.83,54.75$\pm$4.96,48.53$\pm$5.58
Gat-closest-h4-d4,2,49.94$\pm$6.31,59.09$\pm$8.72,53.92$\pm$6.34,45.66$\pm$6.05,56.29$\pm$4.18,50.36$\pm$5.44
Gat-60-angles-h4-d4,2,46.78$\pm$6.54,57.92$\pm$8.8,51.48$\pm$6.25,45.2$\pm$5.9,56.36$\pm$4.12,50.12$\pm$5.32
FS,3,59.92$\pm$5.53,72.43$\pm$7.97,65.53$\pm$6.36,47.04$\pm$6.61,57.39$\pm$5.37,51.65$\pm$6.19
Gat-closest-h4-d4,3,62.11$\pm$5.43,73.17$\pm$7.76,67.09$\pm$5.87,48.19$\pm$7.11,58.76$\pm$5.5,52.88$\pm$6.57
Gat-60-angles-h4-d4,3,60.14$\pm$5.01,72.43$\pm$7.7,65.64$\pm$5.7,48.4$\pm$7.17,58.41$\pm$5.62,52.86$\pm$6.6
FS,4,65.09$\pm$3.74,77.48$\pm$1.66,70.71$\pm$2.63,50.01$\pm$5.15,60.04$\pm$3.51,54.53$\pm$4.51
Gat-closest-h4-d4,4,67.91$\pm$3.82,78.49$\pm$2.24,72.78$\pm$2.76,52.09$\pm$4.16,61.26$\pm$2.78,56.28$\pm$3.6
Gat-60-angles-h4-d4,4,65.64$\pm$3.72,76.97$\pm$3.34,70.79$\pm$2.92,50.77$\pm$4.4,60.55$\pm$3.09,55.2$\pm$3.86
FS,5,66.7$\pm$4.9,77.31$\pm$2.16,71.57$\pm$3.65,53.49$\pm$2.98,61.8$\pm$1.95,57.33$\pm$2.43
Gat-closest-h4-d4,5,69.58$\pm$3.01,79.29$\pm$1.76,74.09$\pm$2.21,54.57$\pm$3.13,62.48$\pm$2.32,58.24$\pm$2.61
Gat-60-angles-h4-d4,5,69.9$\pm$1.97,80.03$\pm$1.44,74.61$\pm$1.54,53.51$\pm$3.09,62.25$\pm$2.04,57.53$\pm$2.5
FS,6,70.23$\pm$4.31,79.63$\pm$1.2,74.59$\pm$2.9,55.92$\pm$2.1,63.97$\pm$1.89,59.68$\pm$2.0
Gat-closest-h4-d4,6,72.06$\pm$3.35,80.53$\pm$1.98,76.03$\pm$2.46,56.9$\pm$4.07,64.47$\pm$2.83,60.43$\pm$3.47
Gat-60-angles-h4-d4,6,71.96$\pm$3.49,80.68$\pm$1.88,76.05$\pm$2.6,56.14$\pm$3.6,64.47$\pm$2.53,60.01$\pm$3.11
FS,7,72.25$\pm$3.61,80.98$\pm$1.25,76.3$\pm$1.87,57.06$\pm$2.22,64.28$\pm$2.52,60.46$\pm$2.33
Gat-closest-h4-d4,7,73.53$\pm$2.15,81.37$\pm$1.14,77.23$\pm$1.34,57.91$\pm$4.3,65.28$\pm$3.04,61.36$\pm$3.73
Gat-60-angles-h4-d4,7,74.28$\pm$2.2,82.62$\pm$1.51,78.2$\pm$1.16,57.3$\pm$3.66,65.17$\pm$2.72,60.97$\pm$3.27
FS,8,73.53$\pm$1.81,80.68$\pm$1.85,76.93$\pm$1.63,59.89$\pm$3.0,67.28$\pm$2.1,63.36$\pm$2.56
Gat-closest-h4-d4,8,75.87$\pm$2.04,82.28$\pm$1.9,78.93$\pm$1.65,58.95$\pm$3.82,65.68$\pm$2.21,62.12$\pm$3.09
Gat-60-angles-h4-d4,8,75.44$\pm$2.39,82.87$\pm$1.53,78.95$\pm$1.25,59.09$\pm$3.49,65.81$\pm$2.16,62.26$\pm$2.9
FS,9,76.57$\pm$2.33,82.19$\pm$1.88,79.27$\pm$1.9,60.26$\pm$3.24,67.85$\pm$1.74,63.82$\pm$2.59
Gat-closest-h4-d4,9,76.55$\pm$1.85,82.27$\pm$1.55,79.3$\pm$1.45,60.38$\pm$2.13,66.87$\pm$0.85,63.45$\pm$1.54
Gat-60-angles-h4-d4,9,76.29$\pm$1.56,83.54$\pm$2.13,79.74$\pm$1.62,60.51$\pm$2.76,66.85$\pm$1.51,63.51$\pm$2.19
FS,10,77.11$\pm$2.27,82.14$\pm$2.38,79.54$\pm$2.25,60.23$\pm$3.16,67.15$\pm$2.47,63.5$\pm$2.81
Gat-closest-h4-d4,10,77.36$\pm$2.33,83.76$\pm$1.62,80.42$\pm$1.83,61.49$\pm$2.95,66.73$\pm$2.41,64.0$\pm$2.65
Gat-60-angles-h4-d4,10,77.27$\pm$2.82,83.93$\pm$1.69,80.45$\pm$2.1,60.88$\pm$2.62,66.64$\pm$1.72,63.62$\pm$2.14
